case_id,architecture,call_type,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms,state,error_code,started_at,completed_at
en_positive,B,review_original,287,111,398,0.00018370000000000002,1261.2089999965974,success,,2026-09-01T18:38:05.115617+00:00,2026-09-01T18:38:06.377666+00:00
en_negative,B,review_original,287,95,382,0.0001717,334.7211000000243,success,,2026-09-01T18:38:06.381669+00:00,2026-09-01T18:38:06.715490+00:00
en_neutral,B,review_original,285,107,392,0.00017999999999999998,517.1211000051699,success,,2026-09-01T18:38:06.718495+00:00,2026-09-01T18:38:07.235412+00:00
en_contrast,B,review_original,285,134,419,0.00020025000000000002,427.01510000188136,success,,2026-09-01T18:38:07.238411+00:00,2026-09-01T18:38:07.665952+00:00
pt_positive,B,review_original,288,148,436,0.0002118,425.7778000028338,success,,2026-09-01T18:38:07.667950+00:00,2026-09-01T18:38:08.094043+00:00
pt_negative,B,review_original,290,114,404,0.000187,435.58759999723407,success,,2026-09-01T18:39:05.363370+00:00,2026-09-01T18:39:05.798920+00:00
pt_neutral,B,review_original,285,157,442,0.0002175,354.8612000013236,success,,2026-09-01T18:39:06.633578+00:00,2026-09-01T18:39:06.988398+00:00
pt_contrast,B,review_original,287,134,421,0.00020095,339.9825000014971,success,,2026-09-01T18:39:06.990398+00:00,2026-09-01T18:39:07.330430+00:00
it_positive,B,review_original,293,107,400,0.0001828,360.8029000024544,success,,2026-09-01T18:39:07.332951+00:00,2026-09-01T18:39:07.693097+00:00
it_negative,B,review_original,291,110,401,0.00018435,532.8902999972343,success,,2026-09-01T18:39:07.696130+00:00,2026-09-01T18:39:08.229416+00:00
it_neutral,B,review_original,287,160,447,0.00022045000000000002,441.91049999790266,error,invalid_json,2026-09-01T18:40:05.607410+00:00,2026-09-01T18:40:06.049254+00:00
it_contrast,B,review_original,288,140,428,0.00020580000000000002,330.8111999940593,success,,2026-09-01T18:40:06.881761+00:00,2026-09-01T18:40:07.212624+00:00
en_negative,A,translation,184,89,273,0.00013115,322.9544999994687,success,,2026-09-01T18:40:07.215595+00:00,2026-09-01T18:40:07.538477+00:00
en_negative,A,review_translated,289,89,378,0.0001679,303.952099995513,success,,2026-09-01T18:40:07.542477+00:00,2026-09-01T18:40:07.846742+00:00
en_neutral,A,translation,182,108,290,0.0001447,434.4444000016665,success,,2026-09-01T18:40:07.850713+00:00,2026-09-01T18:40:08.284800+00:00
en_neutral,A,review_translated,285,112,397,0.00018375,432.57599999924423,success,,2026-09-01T18:41:05.867554+00:00,2026-09-01T18:41:06.300150+00:00
en_contrast,A,translation,182,96,278,0.0001357,388.5890000019572,success,,2026-09-01T18:41:07.131784+00:00,2026-09-01T18:41:07.519448+00:00
en_contrast,A,review_translated,287,155,442,0.0002167,624.0792999960831,success,,2026-09-01T18:41:07.524840+00:00,2026-09-01T18:41:08.149648+00:00
pt_negative,A,translation,187,148,335,0.00017644999999999998,566.6038999988814,success,,2026-09-01T18:41:08.151674+00:00,2026-09-01T18:41:08.718798+00:00
pt_negative,A,review_translated,289,89,378,0.0001679,294.3061999976635,success,,2026-09-01T18:41:08.723798+00:00,2026-09-01T18:41:09.017842+00:00
pt_neutral,A,translation,182,121,303,0.00015445,455.347700000857,success,,2026-09-01T18:42:06.114830+00:00,2026-09-01T18:42:06.570167+00:00
pt_neutral,A,review_translated,285,112,397,0.00018375,340.9384999977192,success,,2026-09-01T18:42:07.376406+00:00,2026-09-01T18:42:07.716852+00:00
pt_contrast,A,translation,184,95,279,0.00013565,306.4706000004662,success,,2026-09-01T18:42:07.726847+00:00,2026-09-01T18:42:08.033613+00:00
pt_contrast,A,review_translated,287,155,442,0.0002167,417.3767000029329,success,,2026-09-01T18:42:08.397027+00:00,2026-09-01T18:42:08.813625+00:00
it_negative,A,translation,188,86,274,0.0001303,326.6880000010133,success,,2026-09-01T18:42:08.815624+00:00,2026-09-01T18:42:09.143345+00:00
it_negative,A,review_translated,289,89,378,0.0001679,912.978699998348,success,,2026-09-01T18:43:06.366949+00:00,2026-09-01T18:43:07.279532+00:00
it_neutral,A,translation,184,111,295,0.00014764999999999998,474.5937000043341,success,,2026-09-01T18:43:07.626782+00:00,2026-09-01T18:43:08.101486+00:00
it_neutral,A,review_translated,285,112,397,0.00018375,453.51990000199294,success,,2026-09-01T18:43:08.113028+00:00,2026-09-01T18:43:08.566940+00:00
it_contrast,A,translation,185,155,340,0.000181,349.31269999651704,success,,2026-09-01T18:43:08.569943+00:00,2026-09-01T18:43:08.919237+00:00
it_contrast,A,review_translated,288,142,430,0.0002073,328.8050999981351,success,,2026-09-01T18:43:08.928268+00:00,2026-09-01T18:43:09.257801+00:00
