case_id,language,contract_variant,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms,pacing_wait_seconds,success,error_code,finish_reason,started_at,completed_at
en-pos-r,en,sentiment_rationale,325,73,398,0.0001685,2037.6161000021966,0,True,,stop,2026-09-01T19:26:17.217517+00:00,2026-09-01T19:26:19.255157+00:00
en-pos-s,en,sentiment_only,271,101,372,0.0001706,339.87790000537643,0,True,,stop,2026-09-01T19:26:19.256249+00:00,2026-09-01T19:26:19.596613+00:00
en-neg-r,en,sentiment_rationale,325,192,517,0.00025775,403.2883999971091,0,False,empty_response,length,2026-09-01T19:26:19.598120+00:00,2026-09-01T19:26:20.001336+00:00
en-neg-s,en,sentiment_only,270,128,398,0.0001905,423.50090000400087,0,False,empty_response,length,2026-09-01T19:26:20.005343+00:00,2026-09-01T19:26:20.429205+00:00
en-neu-r,en,sentiment_rationale,325,93,418,0.00018350000000000002,463.5372000047937,0,True,,stop,2026-09-01T19:26:20.430168+00:00,2026-09-01T19:26:20.892922+00:00
en-neu-s,en,sentiment_only,270,128,398,0.0001905,418.82459999760613,56.57800000000134,False,empty_response,length,2026-09-01T19:27:17.473812+00:00,2026-09-01T19:27:17.892129+00:00
pt-pos-r,pt,sentiment_rationale,328,88,416,0.0001808,328.7258999989717,1.610000000000582,True,,stop,2026-09-01T19:27:19.505138+00:00,2026-09-01T19:27:19.833696+00:00
pt-pos-s,pt,sentiment_only,270,102,372,0.00017099999999999998,341.6410999998334,0.0,True,,stop,2026-09-01T19:27:19.833696+00:00,2026-09-01T19:27:20.176021+00:00
pt-neg-r,pt,sentiment_rationale,327,113,440,0.0001992,339.3352999992203,0.0,True,,stop,2026-09-01T19:27:20.177020+00:00,2026-09-01T19:27:20.516585+00:00
pt-neg-s,pt,sentiment_only,,,,,228.40440000436502,0.0,False,rate_limited,,2026-09-01T19:27:20.578687+00:00,2026-09-01T19:27:20.807409+00:00
pt-neu-r,pt,sentiment_rationale,326,116,442,0.0002011,425.85479999979725,56.90600000000268,True,,stop,2026-09-01T19:28:17.715768+00:00,2026-09-01T19:28:18.140775+00:00
pt-neu-s,pt,sentiment_only,272,87,359,0.00016045,305.77930000436027,1.610000000000582,True,,stop,2026-09-01T19:28:19.754022+00:00,2026-09-01T19:28:20.059761+00:00
it-pos-r,it,sentiment_rationale,328,87,415,0.00018005,344.7401999947033,0.0,True,,stop,2026-09-01T19:28:20.060266+00:00,2026-09-01T19:28:20.405582+00:00
it-pos-s,it,sentiment_only,270,112,382,0.0001785,397.05490000051213,0.0,True,,stop,2026-09-01T19:28:20.406582+00:00,2026-09-01T19:28:20.804029+00:00
it-neg-r,it,sentiment_rationale,332,114,446,0.0002017,335.2067999949213,0.0,True,,stop,2026-09-01T19:28:20.805223+00:00,2026-09-01T19:28:21.140190+00:00
it-neg-s,it,sentiment_only,272,106,378,0.00017470000000000002,893.5750000018743,56.82800000000134,True,,stop,2026-09-01T19:29:17.970115+00:00,2026-09-01T19:29:18.863088+00:00
it-neu-r,it,sentiment_rationale,330,108,438,0.0001965,424.94669999723556,1.1410000000032596,True,,stop,2026-09-01T19:29:20.006483+00:00,2026-09-01T19:29:20.431156+00:00
it-neu-s,it,sentiment_only,272,128,400,0.00019119999999999999,616.1667000051239,0.0,False,empty_response,length,2026-09-01T19:29:20.432225+00:00,2026-09-01T19:29:21.048508+00:00
