case_id,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms,pacing_wait_ms,state,error_code,finish_reason,timestamp
en-pos-01,279,106,385,0.00017715,1726.8448999966495,0,direct_multilingual_review,,stop,2026-09-02T01:30:06.868571+00:00
en-pos-02,276,61,337,0.00014235,991.9345000089379,0,direct_multilingual_review,,stop,2026-09-02T01:30:07.866242+00:00
en-pos-03,278,103,381,0.00017455,795.1614000048721,0,direct_multilingual_review,,stop,2026-09-02T01:30:08.667190+00:00
en-neg-01,277,59,336,0.0001412,830.5071999930078,0,direct_multilingual_review,,stop,2026-09-02T01:30:09.501676+00:00
en-neg-02,279,72,351,0.00015165,882.7391999948304,0,direct_multilingual_review,,stop,2026-09-02T01:30:10.393373+00:00
en-neg-03,279,70,349,0.00015015,899.6614999923622,54983.99999999674,direct_multilingual_review,,stop,2026-09-02T01:31:06.287942+00:00
en-neu-01,281,118,399,0.00018685,837.9900999862002,828.9999999979045,direct_multilingual_review,,stop,2026-09-02T01:31:07.959938+00:00
en-neu-02,277,59,336,0.0001412,895.6274000083795,0.0,direct_multilingual_review,,stop,2026-09-02T01:31:08.862828+00:00
en-neu-03,278,63,341,0.00014455,810.3246000100626,0.0,direct_multilingual_review,,stop,2026-09-02T01:31:09.680298+00:00
en-hard-01,,,,,699.5048999961,0.0,direct_review_failed,rate_limited,,2026-09-02T01:31:10.385154+00:00
en-hard-02,279,74,353,0.00015315,831.432599996333,55250.0,direct_multilingual_review,,stop,2026-09-02T01:32:06.471138+00:00
en-hard-03,281,86,367,0.00016284999999999997,846.9336000125622,907.0000000065193,direct_multilingual_review,,stop,2026-09-02T01:32:08.233567+00:00
pt-pos-01,281,77,358,0.0001561,822.2291999991285,0.0,direct_multilingual_review,,stop,2026-09-02T01:32:09.061322+00:00
pt-pos-02,277,69,346,0.0001487,929.6260000119219,0.0,direct_multilingual_review,,stop,2026-09-02T01:32:09.998061+00:00
pt-pos-03,281,88,369,0.00016435,864.5035000081407,0.0,direct_multilingual_review,,stop,2026-09-02T01:32:10.868741+00:00
pt-neg-01,280,88,368,0.000164,1023.3263000118313,55014.99999999942,direct_multilingual_review,,stop,2026-09-02T01:33:06.911515+00:00
pt-neg-02,280,77,357,0.00015575,872.7584000007482,733.9999999967404,direct_multilingual_review,,stop,2026-09-02T01:33:08.524404+00:00
pt-neg-03,284,71,355,0.00015265,834.1752999986056,0.0,direct_multilingual_review,,stop,2026-09-02T01:33:09.364383+00:00
pt-neu-01,281,129,410,0.0001951,891.6673000057926,0.0,direct_multilingual_review,,stop,2026-09-02T01:33:10.260641+00:00
pt-neu-02,279,96,375,0.00016965,803.9092999970308,0.0,direct_multilingual_review,,stop,2026-09-02T01:33:11.069016+00:00
pt-neu-03,281,77,358,0.0001561,825.757499987958,55062.000000005355,direct_multilingual_review,,stop,2026-09-02T01:34:06.962523+00:00
pt-hard-01,279,78,357,0.00015615,817.5807999941753,938.0000000091968,direct_multilingual_review,,stop,2026-09-02T01:34:08.722759+00:00
pt-hard-02,280,78,358,0.0001565,869.7488000034355,0.0,direct_multilingual_review,,stop,2026-09-02T01:34:09.599805+00:00
pt-hard-03,279,82,361,0.00015915,1009.1115000104764,0.0,direct_multilingual_review,,stop,2026-09-02T01:34:10.614440+00:00
it-pos-01,287,93,380,0.00017020000000000002,980.0188999943202,0.0,direct_multilingual_review,,stop,2026-09-02T01:34:11.599060+00:00
it-pos-02,283,61,344,0.0001448,2548.5906999965664,54782.00000000652,direct_multilingual_review,,stop,2026-09-02T01:35:08.934406+00:00
it-pos-03,281,108,389,0.00017935,852.1145999984583,0.0,direct_multilingual_review,,stop,2026-09-02T01:35:09.790599+00:00
it-neg-01,287,93,380,0.00017020000000000002,784.8360000061803,0.0,direct_multilingual_review,,stop,2026-09-02T01:35:10.579008+00:00
it-neg-02,286,81,367,0.00016084999999999998,793.9275999960955,0.0,direct_multilingual_review,,stop,2026-09-02T01:35:11.378911+00:00
it-neg-03,286,69,355,0.00015185,958.5767999960808,0.0,direct_multilingual_review,,stop,2026-09-02T01:35:12.341139+00:00
it-neu-01,287,88,375,0.00016645,835.0457000051392,54282.00000000652,direct_multilingual_review,,stop,2026-09-02T01:36:07.463909+00:00
it-neu-02,281,88,369,0.00016435,1114.0114000008907,1719.0000000118744,direct_multilingual_review,,stop,2026-09-02T01:36:10.302842+00:00
it-neu-03,282,103,385,0.00017595000000000002,780.486400006339,0.0,direct_multilingual_review,,stop,2026-09-02T01:36:11.089517+00:00
it-hard-01,282,81,363,0.00015945,804.1652999963844,0.0,direct_multilingual_review,,stop,2026-09-02T01:36:11.896800+00:00
it-hard-02,,,,,722.3057000082918,0.0,direct_review_failed,rate_limited,,2026-09-02T01:36:12.624650+00:00
it-hard-03,285,87,372,0.000165,791.8026999977883,54250.0,direct_multilingual_review,,stop,2026-09-02T01:37:07.671666+00:00
short-es-pos,271,70,341,0.00014735,1202.542099999846,1766.0000000032596,direct_multilingual_review,,stop,2026-09-02T01:37:10.647715+00:00
short-es-neg,272,84,356,0.0001582,871.2114000081783,0.0,direct_multilingual_review,,stop,2026-09-02T01:37:11.521216+00:00
short-es-neu,271,71,342,0.0001481,778.4568999923067,0.0,direct_multilingual_review,,stop,2026-09-02T01:37:12.302690+00:00
short-en-pos,271,70,341,0.00014735,803.8994999951683,0.0,direct_multilingual_review,,stop,2026-09-02T01:37:13.109114+00:00
short-en-neg,271,75,346,0.0001511,864.9173000012524,54016.00000000326,direct_multilingual_review,,stop,2026-09-02T01:38:07.994074+00:00
short-en-neu,271,74,345,0.00015035,886.8380000058096,1687.000000005355,direct_multilingual_review,,stop,2026-09-02T01:38:10.571406+00:00
short-pt-pos,271,70,341,0.00014735,861.3600999960909,327.9999999940628,direct_multilingual_review,,stop,2026-09-02T01:38:11.763422+00:00
short-pt-neg,271,60,331,0.00013985,792.9341999988537,0.0,direct_multilingual_review,,stop,2026-09-02T01:38:12.559720+00:00
short-pt-neu,271,83,354,0.0001571,1046.040000001085,0.0,direct_multilingual_review,,stop,2026-09-02T01:38:13.608989+00:00
short-it-pos,273,91,364,0.0001638,921.0872000112431,53766.00000000326,direct_multilingual_review,,stop,2026-09-02T01:39:08.299409+00:00
short-it-neg,271,78,349,0.00015335000000000001,822.6927999930922,1641.0000000032596,direct_multilingual_review,,stop,2026-09-02T01:39:10.766121+00:00
short-it-neu,273,62,335,0.00014204999999999998,873.4828000015114,391.00000000325963,direct_multilingual_review,,stop,2026-09-02T01:39:12.034308+00:00
