position,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms,pacing_wait_seconds,state,error_code,finish_reason,timestamp
1,280,73,353,0.00015275,1553.085400009877,0,direct_multilingual_review,,stop,2026-09-02T02:04:19.926069+00:00
2,280,60,340,0.000143,949.5043999922927,0,direct_multilingual_review,,stop,2026-09-02T02:04:20.883142+00:00
3,280,87,367,0.00016324999999999998,776.4383000030648,0,direct_multilingual_review,,stop,2026-09-02T02:04:21.664469+00:00
4,280,69,349,0.00014975,862.154600006761,0,direct_multilingual_review,,stop,2026-09-02T02:04:22.531302+00:00
5,280,73,353,0.00015275,864.1363000060664,0,direct_multilingual_review,,stop,2026-09-02T02:04:23.403591+00:00
6,280,69,349,0.00014975,777.6065999933053,56.96899999999732,direct_multilingual_review,,stop,2026-09-02T02:05:21.155217+00:00
7,280,60,340,0.000143,766.1361000064062,0.7649999999994179,direct_multilingual_review,,stop,2026-09-02T02:05:22.690940+00:00
8,280,73,353,0.00015275,885.7721999956993,0.20299999999406282,direct_multilingual_review,,stop,2026-09-02T02:05:23.784681+00:00
9,280,62,342,0.0001445,841.1195000080625,0.0,direct_multilingual_review,,stop,2026-09-02T02:05:24.631183+00:00
10,280,60,340,0.000143,930.1590000104625,0.0,direct_multilingual_review,,stop,2026-09-02T02:05:25.566997+00:00
11,280,60,340,0.000143,769.5445999997901,56.812999999994645,direct_multilingual_review,,stop,2026-09-02T02:06:23.154606+00:00
12,280,86,366,0.0001625,806.9907999888528,0.7649999999994179,direct_multilingual_review,,stop,2026-09-02T02:06:24.730906+00:00
13,280,83,363,0.00016025,777.4585000006482,0.15600000000267755,direct_multilingual_review,,stop,2026-09-02T02:06:25.668740+00:00
14,280,60,340,0.000143,851.8919000052847,0.11000000000058208,direct_multilingual_review,,stop,2026-09-02T02:06:26.636117+00:00
15,280,72,352,0.000152,872.3365999903763,0.0,direct_multilingual_review,,stop,2026-09-02T02:06:27.515029+00:00
